0 Subject_ID
0 Activity_Name
0 Testing_Or_Training_Group
1 tBodyAcc-mean()-X-Testing
2 tBodyAcc-mean()-Y-Testing
3 tBodyAcc-mean()-Z-Testing
4 tBodyAcc-std()-X-Testing
5 tBodyAcc-std()-Y-Testing
6 tBodyAcc-std()-Z-Testing
41 tGravityAcc-mean()-X-Testing
42 tGravityAcc-mean()-Y-Testing
43 tGravityAcc-mean()-Z-Testing
44 tGravityAcc-std()-X-Testing
45 tGravityAcc-std()-Y-Testing
46 tGravityAcc-std()-Z-Testing
81 tBodyAccJerk-mean()-X-Testing
82 tBodyAccJerk-mean()-Y-Testing
83 tBodyAccJerk-mean()-Z-Testing
84 tBodyAccJerk-std()-X-Testing
85 tBodyAccJerk-std()-Y-Testing
86 tBodyAccJerk-std()-Z-Testing
121 tBodyGyro-mean()-X-Testing
122 tBodyGyro-mean()-Y-Testing
123 tBodyGyro-mean()-Z-Testing
124 tBodyGyro-std()-X-Testing
125 tBodyGyro-std()-Y-Testing
126 tBodyGyro-std()-Z-Testing
161 tBodyGyroJerk-mean()-X-Testing
162 tBodyGyroJerk-mean()-Y-Testing
163 tBodyGyroJerk-mean()-Z-Testing
164 tBodyGyroJerk-std()-X-Testing
165 tBodyGyroJerk-std()-Y-Testing
166 tBodyGyroJerk-std()-Z-Testing
201 tBodyAccMag-mean()-Testing
202 tBodyAccMag-std()-Testing
214 tGravityAccMag-mean()-Testing
215 tGravityAccMag-std()-Testing
227 tBodyAccJerkMag-mean()-Testing
228 tBodyAccJerkMag-std()-Testing
240 tBodyGyroMag-mean()-Testing
241 tBodyGyroMag-std()-Testing
253 tBodyGyroJerkMag-mean()-Testing
254 tBodyGyroJerkMag-std()-Testing
266 fBodyAcc-mean()-X-Testing
267 fBodyAcc-mean()-Y-Testing
268 fBodyAcc-mean()-Z-Testing
269 fBodyAcc-std()-X-Testing
270 fBodyAcc-std()-Y-Testing
271 fBodyAcc-std()-Z-Testing
345 fBodyAccJerk-mean()-X-Testing
346 fBodyAccJerk-mean()-Y-Testing
347 fBodyAccJerk-mean()-Z-Testing
348 fBodyAccJerk-std()-X-Testing
349 fBodyAccJerk-std()-Y-Testing
350 fBodyAccJerk-std()-Z-Testing
424 fBodyGyro-mean()-X-Testing
425 fBodyGyro-mean()-Y-Testing
426 fBodyGyro-mean()-Z-Testing
427 fBodyGyro-std()-X-Testing
428 fBodyGyro-std()-Y-Testing
429 fBodyGyro-std()-Z-Testing
452 fBodyGyro-meanFreq()-X-Testing
453 fBodyGyro-meanFreq()-Y-Testing
454 fBodyGyro-meanFreq()-Z-Testing
503 fBodyAccMag-mean()-Testing
504 fBodyAccMag-std()-Testing
516 fBodyBodyAccJerkMag-mean()-Testing
517 fBodyBodyAccJerkMag-std()-Testing
529 fBodyBodyGyroMag-mean()-Testing
530 fBodyBodyGyroMag-std()-Testing
542 fBodyBodyGyroJerkMag-mean()-Testing
543 fBodyBodyGyroJerkMag-std()-Testing
1 tBodyAcc-mean()-X-Training
